"ID";"CNAE";"DESCRIPCION"
578;"9211";PRODUCCION CINEMATOGRAFICA Y DE VIDEO
579;"9212";DISTRIBUCION DE PELICULAS
580;"9213";EXHIBICION DE PELICULAS
581;"9220";ACTIVIDADES DE RADIO Y TELEVISION
582;"9230";OTRAS ACTIVIDADES ARTISTICAS Y DE ESPECTACULOS
583;"9231";CREACION E INTERPRETACION ARTISTICA Y LITERARIA
584;"9232";GESTION DE SALAS DE ESPECTACULOS
585;"9233";ACTIVIDADES DE FERIAS Y PARQUES DE ATRACCIONES
586;"9234";OTRAS ACTIVIDADES DE ESPECTACULOS
587;"9240";ACTIVIDADES DE AGENCIAS DE NOTICIAS
588;"9250";"ACTIV.DE BIBLIOTECAS; ARCHIVOS; MUSEOS Y OTRAS INST.CULTURAL"
589;"9251";ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS
590;"9252";ACTIV. MUSEOS Y CONSERVACION LUGARES Y EDIFICIOS HISTORICOS
591;"9253";"ACTIV. JARDINES BOTANICOS; ZOOLOGICOS Y PARQUES NACIONALES"
592;"9260";ACTIVIDADES DEPORTIVAS
593;"9261";GESTION DE ESTADIOS Y OTRAS INSTALACIONES DEPORTIVAS
594;"9262";OTRAS ACTIVIDADES DEPORTIVAS
595;"9270";ACTIVIDADES RECREATIVAS DIVERSAS
596;"9271";ACTIVIDADES RELACIONADAS CON LOS JUEGOS DE AZAR Y APUESTAS
597;"9272";OTRAS ACTIVIDADES RECREATIVAS
598;"9300";ACTIVIDADES DIVERSAS DE SERVICIOS PERSONALES
599;"9301";"LAVADO; LIMPIEZA Y TEÑIDO DE PRENDAS TEXTILES Y DE PIEL"
600;"9302";PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA
601;"9303";POMPAS FUNEBRES Y ACTIVIDADES RELACIONADAS CON LAS MISMAS
602;"9304";ACTIVIDADES DE MANTENIMIENTO FISICO CORPORAL
603;"9305";OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
604;"9500";HOGARES QUE EMPLEAN PERSONAL DOMESTICO
605;"9900";ORGANISMOS EXTRATERRITORIALES
606;"9990";OTRAS ACTIVIDADES
607;"9900";OTRAS ACTIVIDADES
608;"4672";COMERCIO AL POR MAYOR DE METALES Y MINERALES METALICOS
1004;"0111";"CULTIVO DE CEREALES (EXCEPTO ARROZ); LEGUMINOSAS Y SEMILLAS OLEAGINOSAS"
1005;"0112";CULTIVO DE ARROZ
1006;"0113";"CULTIVO DE HORTALIZAS; RAICES Y TUBERCULOS"
1;"0110";PRODUCCION AGRICOLA
2;"0111";CULTIVO DE CEREALES Y OTROS CULTIVOS
3;"0112";"CULT. DE HORTALIZAS; ESPECIAL. HORTICULTURA Y PDTOS. VIVERO"
4;"0113";"CULT. FRUTAS; FRUTOS SECOS; ESPECIAS Y CULT. PARA BEBIDAS"
5;"0120";PRODUCCION GANADERA
6;"0121";EXPLOTACION DE GANADO BOVINO Y PRODUCCION DE LECHE CRUDA
7;"0122";"EXPLOTACION DE GANADO OVINO; CAPRINO Y EQUINO"
8;"0123";EXPLOTACION DE GANADO PORCINO
9;"0124";AVICULTURA
10;"0125";OTRAS EXPLOTACIONES DE GANADO
11;"0130";PRODUCCION AGRARIA COMBINADA CON LA PRODUCCION GANADERA
12;"0140";ACTIVID. DE SERVIC. RELAC. CON AGRICULTURA.GANAD.(EXCP.VETERIN.)
13;"0141";ACTIVIDADES DE SERVICIOS RELACIONADOS CON LA AGRICULTURA
14;"0142";"ACTIV. SERV. RELAC. GANADERIA; EXCEPTO ACTIV. VETERINARIAS"
15;"0150";"CAZA; CAPTURA DE ANIMALES Y REPOBLACION CINEGETICA"
16;"0200";"SILVICULTURA; EXPLOTACION FORESTAL Y SERVICIOS RELACIONADOS"
17;"0201";SILVICULTURA Y EXPLOTACION FORESTAL
18;"0202";ACTIV. SERV. RELACIONADOS SILVICULTURA Y EXPLOT. FORESTAL
19;"0500";"PESCA; ACUICULTURA Y ACTIVIDADES SERVICIOS RELACIONADOS"
20;"0501";PESCA
21;"0502";ACUICULTURA
22;"1010";EXTRACCION Y AGLOMERACION DE ANTRACITA Y HULLA
23;"1020";EXTRACCION Y AGLOMERACION DE LIGNITO PARDO
24;"1030";EXTRACCION Y AGLOMERACION DE TURBA
25;"1110";EXTRACCION DE CRUDOS DE PETROLEO Y GAS NATURAL
26;"1120";ACTIVID. DE LOS SERVIC. RELAC. CON EXPLOTAC. PETROLIF. Y GAS
27;"1200";EXTRACCION DE MINERALES DE URANIO Y TORIO
28;"1310";EXTRACCION DE MINERALES DE HIERRO
29;"1320";"EXTRAC. MINERALES METALICOS NO FERREOS; EXCP. URANIO Y TORIO"
30;"1410";EXTRACCION DE PIEDRA
31;"1411";EXTRACCION DE PIEDRA PARA LA CONSTRUCCION
32;"1412";"EXTRACCION DE PIEDRA CALIZA; YESO Y CRETA"
33;"1413";EXTRACCION DE PIZARRAS
34;"1420";EXTRACCION DE ARENAS Y ARCILLAS
35;"1421";EXTRACCION DE GRAVAS Y ARENAS
36;"1422";EXTRACCION DE ARCILLA Y CAOLIN
37;"1430";EXTRACCION DE MINERALES PARA ABONOS Y PRODUCTOS QUIMICOS
38;"1440";PRODUCCION DE SAL
39;"1450";EXTRACCION DE OTROS MINERALES NO METALICOS NI ENERGETICOS
40;"1510";INDUSTRIA CARNICA
41;"1511";SACRIFICIO DE GANADO Y CONSERVACION DE CARNES
42;"1512";SACRIFICIO Y CONSERVACION DE VOLATERIA
43;"1513";FABRICACION DE PRODUCTOS CARNICOS
44;"1520";"ELABORACION;CONSERVACION DE PESCADOS Y PROD. A BASE DE PESC."
45;"1530";PREPARACION Y CONSERVACION DE FRUTAS Y HORTALIZAS
46;"1531";PREPARACION Y CONSERVACION DE PATATAS
47;"1532";FABRICACION DE JUGOS DE FRUTAS Y HORTALIZAS
48;"1533";FABRICACION DE CONSERVAS DE FRUTAS Y HORTALIZAS
49;"1540";FABRICACION DE GRASAS Y ACEITES (VEGETALES Y ANIMALES)
50;"1541";FABRICACION DE ACEITES Y GRASAS SIN REFINAR
51;"1542";FABRICACION DE ACEITES Y GRASAS REFINADAS
52;"1543";FABRICACION DE MARGARINA Y GRASAS COMESTIBLES SIMILARES
53;"1550";INDUSTRIAS LACTEAS
54;"1551";FABRICACION DE PRODUCTOS LACTEOS
55;"1552";ELABORACION DE HELADOS
56;"1560";"FABRICAC.DE PRODUCTOS DE MOLINERIA; ALMIDONES Y PROD. AMILACEOS"
57;"1561";FABRICACION DE PRODUCTOS DE MOLINERIA
58;"1562";FABRICACION DE ALMIDONES Y PRODUCTOS AMILACEOS
59;"1570";FABRICACION DE PRODUCTOS PARA LA ALIMENTACION ANIMAL
60;"1571";FABRICACION DE PDTOS. PARA ALIMENTACION ANIMALES DE GRANJA
61;"1572";FABRICACION DE PDTOS. PARA ALIMENTACION ANIMALES DE COMPAÑ.
62;"1580";FABRICACION DE OTROS PRODUCTOS ALIMENTICIOS
63;"1581";FABRICACION DE PAN Y PDTOS. PANADERIA Y PASTELERIA FRESCOS
64;"1582";FAB. GALLETAS Y PDTOS. PANADERIA Y PASTELERIA LARGA DURACION
65;"1583";INDUSTRIA DEL AZUCAR
66;"1584";"INDUSTRIA DEL CACAO; CHOCOLATE Y CONFITERIA"
67;"1585";FABRICACION DE PASTAS ALIMENTICIAS
68;"1586";"ELABORACION DE CAFE; TE E INFUSIONES"
69;"1587";"ELABORACION DE ESPECIAS; SALSAS Y CONDIMENTOS"
70;"1588";ELAB. Y PREPARADOS ALIMENTACION INFANTIL Y PREP. DIETETICOS
71;"1589";ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS
72;"1590";ELABORACION DE BEBIDAS
73;"1591";DESTILACION DE BEBIDAS ALCOHOLICAS
74;"1593";ELABORACION DE VINOS
75;"1594";ELABORACION SIDRA Y OTRAS BEBIDAS FERMENT. A PARTIR DE FRUTA
76;"1596";FABRICACION DE CERVEZA
77;"1597";FABRICACION DE MALTA
78;"1598";PRODUCCION DE AGUAS MINERALES Y BEBIDAS ANALCOHOLICAS
79;"1600";INDUSTRIA DEL TABACO
80;"1710";PREPARACION E HILADO DE FIBRAS TEXTILES
81;"1711";PREPARACION E HILADO DE FIBRAS DE ALGODON Y SUS MEZCLAS
82;"1712";PREPARACION E HILADO DE FIBRAS DE LANA CARDADA Y SUS MEZCLAS
83;"1713";PREPARACION E HILADO DE FIBRAS DE LANA PEINADA Y SUS MEZCLAS
84;"1715";TORCIDO Y PREPARACION SEDA; TORCIDO Y FILAMENTOS SINTETICOS
85;"1716";FABRICACION DE HILO DE COSER
86;"1717";PREPARACION E HILADO DE OTRAS FIBRAS TEXTILES
87;"1720";FABRICACION DE TEJIDOS TEXTILES
